Name,Категория,Сумма,Date,Способ оплаты,Остаток
"Пятерка ",Продукты,768,"October 28, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерка ",Прочие расходы,609,"October 28, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
"Пятерка ",Продукты,284,"October 29, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерка ",Продукты,183,"October 30, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерочка ",Продукты,105,"October 30, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерка ",Продукты,25,"October 31, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ДА!,Продукты,90,"November 1, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Автобус ",Прочие расходы,25,"November 1, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
"ИАТЭ ",Продукты,30,"November 1, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пиво,Развлечения,330,"November 1, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Дикси ",Продукты,110,"November 1, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
АМ,Продукты,90,"November 1, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ДЭВИС,Продукты,250,"November 1, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Тройка,Прочие расходы,300,"November 2, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
"Электричка ",Прочие расходы,197,"November 2, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
Стрелка,Прочие расходы,200,"November 2, 2023",СберВиса,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
"Дикси ",Продукты,35,"November 7, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерочка,Продукты,205,"November 7, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Мак,Развлечения,202,"November 7, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
Пятерка,Продукты,127,"November 8, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ВкусВилл,Продукты,158,"November 8, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ИАТЭ,Продукты,80,"November 8, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Проездной ",Прочие расходы,465,"November 8, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
ВБ,Развлечения,401,"November 9, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Дикси ",Продукты,123,"November 9, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Магнит Косметик,Прочие расходы,400,"November 9, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
ФиксПрайс,Продукты,116,"November 9, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерочка ",Продукты,140,"November 9, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерка ",Продукты,72,"November 10, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,235,"November 10, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ВкусВилл,Развлечения,238,"November 10, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Пакет ",Развлечения,160,"November 10, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Пиво ",Развлечения,300,"November 10, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Дикси ",Продукты,94,"November 10, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,215,"November 11, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,80,"November 11, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дэвис ",Продукты,200,"November 11, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Такси ",Развлечения,110,"November 12, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Пятерочка ",Продукты,316,"November 12, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Пятерка ",Продукты,60,"November 13, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,236,"November 13, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Автобус ",Прочие расходы,25,"November 13, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
Барбер,Прочие расходы,1100,"November 13, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
ДА!,Продукты,484,"November 14, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Магнит,Продукты,86,"November 14, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Аптека,Прочие расходы,822,"November 14, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
Пятерочка,Продукты,150,"November 15, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,340,"November 15, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Такси ",Развлечения,128,"November 15, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)
"Дикси ",Продукты,52,"November 16, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Дикси,Продукты,341,"November 17, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Лента ",Продукты,58,"November 17, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,231,"November 18, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,190,"November 19, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,146,"November 20, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,94,"November 20, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Ашан,Продукты,140,"November 20, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,57,"November 22, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,25,"November 22, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Лента,Продукты,85,"November 22, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,70,"November 21, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ДА!,Продукты,114,"November 21, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,68,"November 21, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,288,"November 23, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,47,"November 23, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Аптека,Прочие расходы,90,"November 23, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
"Ручки ",Прочие расходы,140,"November 23, 2023",Альфа карта,Прочие расходы (https://www.notion.so/b5ef7d0bc2bb47b5b14496fd8cef2e18?pvs=21)
Пятерка,Продукты,120,"November 24, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,95,"November 24, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
ИАТЭ,Продукты,92,"November 24, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,478,"November 25, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Дикси,Продукты,171,"November 25, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,173,"November 25, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,80,"November 26, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Дикси ",Продукты,248,"November 27, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пятерка,Продукты,25,"November 27, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
"Точилка ",Прочие расходы,669,"November 26, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пиво,Развлечения,265,"November 27, 2023",Альфа карта,Еда (https://www.notion.so/d3c7c4f8ecf6425a81902b0e4b938fd8?pvs=21)
Пиво,Развлечения,131,"November 27, 2023",Альфа карта,Развлечения (https://www.notion.so/8275a70a721f488c9d95d26b59728032?pvs=21)